Month,Place_Type,Climate,Trip_Duration_Days,Companions,Interest,Budget_Thousand_INR
February,Beach,Hot,4,o,Adventure,18.01
January,Beach,Hot,14,o,Shopping,20.39
February,Historical,Hot,6,o,Food,5.0
August,Beach,Hot,4,o,Food,16.59
July,Hill Station,Moderate,3,o,Food,11.9
March,City,Moderate,2,o,Culture,12.27
June,Historical,Hot,4,o,Shopping,12.88
September,City,Moderate,1,o,Shopping,15.08
July,Hill Station,Cold,10,o,Culture,8.92
July,Beach,Hot,10,o,Culture,22.11
December,Hill Station,Cold,7,o,Shopping,22.5
February,Beach,Hot,5,o,Food,21.21
March,Beach,Hot,5,o,Shopping,23.96
June,Historical,Hot,1,o,Culture,17.46
February,Wildlife,Hot,1,o,Adventure,18.29
April,Wildlife,Hot,1,o,Shopping,18.42
March,Wildlife,Hot,2,o,Culture,14.66
October,Religious,Moderate,7,o,Food,10.8
March,Religious,Moderate,5,o,Culture,9.93
September,Historical,Hot,5,o,Food,15.68
June,Wildlife,Moderate,10,o,Food,13.37
June,Beach,Hot,6,o,Shopping,23.2
December,Wildlife,Moderate,2,o,Food,16.23
March,Wildlife,Hot,2,o,Relaxation,20.81
October,Historical,Hot,2,o,Food,13.47
September,Beach,Hot,4,o,Food,21.7
August,Religious,Moderate,1,o,Adventure,8.91
June,City,Moderate,2,o,Culture,16.92
August,City,Moderate,3,o,Shopping,8.26
February,Wildlife,Hot,2,o,Food,14.72
April,Beach,Hot,14,o,Adventure,19.08
September,Wildlife,Hot,2,o,Shopping,22.08
August,Hill Station,Cold,14,o,Food,15.43
October,Hill Station,Cold,1,o,Culture,13.96
August,Hill Station,Cold,10,o,Adventure,14.78
June,Wildlife,Hot,3,o,Culture,15.89
October,Wildlife,Hot,4,o,Shopping,19.42
November,Beach,Moderate,6,o,Adventure,18.98
December,Religious,Moderate,1,o,Shopping,10.88
March,Religious,Moderate,7,o,Relaxation,11.06
October,Hill Station,Moderate,4,o,Adventure,12.59
April,Wildlife,Hot,14,o,Adventure,18.74
March,Beach,Hot,6,o,Culture,21.38
December,City,Moderate,7,o,Relaxation,12.33
June,Hill Station,Moderate,14,o,Food,15.2
May,Hill Station,Moderate,6,o,Adventure,17.64
April,Hill Station,Cold,10,o,Culture,11.96
June,Beach,Hot,14,o,Adventure,18.41
July,Historical,Hot,3,o,Shopping,10.52
December,Historical,Hot,6,o,Relaxation,9.29
April,Wildlife,Hot,4,o,Food,11.6
January,City,Moderate,1,o,Food,7.75
June,Religious,Moderate,7,o,Food,10.47
August,Hill Station,Cold,4,o,Culture,10.34
July,Hill Station,Cold,4,o,Shopping,19.7
March,Wildlife,Hot,6,o,Food,18.85
July,City,Moderate,5,o,Adventure,14.28
January,Beach,Hot,3,o,Food,21.19
August,Wildlife,Moderate,3,o,Shopping,14.76
September,Historical,Hot,7,o,Relaxation,9.85
January,Religious,Moderate,6,o,Shopping,10.71
September,Beach,Moderate,2,o,Relaxation,19.68
February,Historical,Hot,7,o,Culture,15.34
October,Hill Station,Moderate,10,o,Adventure,18.65
September,City,Moderate,5,o,Culture,14.44
June,Historical,Hot,2,o,Adventure,16.26
September,Hill Station,Cold,1,o,Food,13.98
January,Beach,Moderate,5,o,Relaxation,11.03
April,Beach,Hot,7,o,Shopping,16.73
November,Beach,Moderate,5,o,Culture,16.12
February,Religious,Moderate,14,o,Shopping,11.66
June,Wildlife,Hot,4,o,Food,23.43
January,Hill Station,Moderate,7,o,Food,13.59
December,Historical,Hot,1,o,Culture,7.86
September,Wildlife,Moderate,14,o,Relaxation,17.66
June,City,Moderate,6,o,Culture,13.76
September,Hill Station,Cold,10,o,Culture,9.62
August,Beach,Hot,5,o,Adventure,19.14
September,Beach,Hot,14,o,Shopping,20.74
May,Hill Station,Cold,1,o,Shopping,19.78
October,Beach,Hot,14,o,Relaxation,20.31
August,Wildlife,Hot,4,o,Food,14.36
November,Wildlife,Moderate,6,o,Shopping,17.81
April,Wildlife,Hot,7,o,Relaxation,21.41
January,City,Moderate,5,o,Shopping,11.13
October,Hill Station,Cold,1,o,Adventure,11.58
April,Wildlife,Moderate,14,o,Culture,15.84
March,Religious,Moderate,14,o,Adventure,5.7
June,Beach,Hot,5,o,Relaxation,25.22
February,Beach,Hot,3,o,Culture,22.74
January,Beach,Hot,6,o,Food,21.27
January,Historical,Hot,5,o,Relaxation,13.34
January,City,Moderate,10,o,Adventure,12.98
October,Religious,Moderate,4,o,Adventure,13.91
April,Beach,Hot,14,o,Culture,14.9
October,Religious,Moderate,10,o,Adventure,8.64
November,Religious,Moderate,3,o,Adventure,11.61
August,Beach,Moderate,1,o,Food,22.75
December,Wildlife,Hot,7,o,Relaxation,19.06
March,City,Moderate,3,o,Relaxation,9.32
May,City,Moderate,3,o,Shopping,19.59
May,Beach,Moderate,4,o,Adventure,20.0
February,Beach,Moderate,14,o,Adventure,21.8
April,Wildlife,Hot,5,o,Adventure,10.31
December,Historical,Hot,7,o,Adventure,17.64
January,Beach,Hot,3,o,Shopping,12.86
December,Wildlife,Hot,3,o,Shopping,17.58
January,Hill Station,Moderate,6,o,Adventure,13.04
December,Beach,Hot,3,o,Shopping,13.85
July,Hill Station,Cold,14,o,Relaxation,16.12
June,Wildlife,Hot,10,o,Adventure,21.37
January,Historical,Hot,2,o,Adventure,12.7
June,Historical,Hot,1,o,Relaxation,8.59
October,Hill Station,Cold,10,o,Relaxation,13.82
November,Hill Station,Cold,10,o,Adventure,12.71
February,Beach,Moderate,4,o,Adventure,17.72
January,Wildlife,Moderate,14,o,Food,15.82
August,Historical,Hot,3,o,Shopping,9.99
May,Beach,Moderate,6,o,Adventure,20.41
February,Religious,Moderate,10,o,Shopping,9.81
February,Hill Station,Cold,10,o,Food,14.88
May,Hill Station,Cold,4,o,Culture,12.44
April,Historical,Hot,5,o,Relaxation,9.99
June,City,Moderate,3,o,Relaxation,10.07
March,Hill Station,Cold,6,o,Adventure,20.4
May,Beach,Hot,2,o,Food,23.32
May,Beach,Hot,5,o,Food,20.6
March,Religious,Moderate,7,o,Shopping,12.98
November,Wildlife,Moderate,3,o,Relaxation,20.25
February,Historical,Hot,4,o,Culture,10.36
February,Beach,Moderate,10,o,Shopping,25.45
January,Wildlife,Moderate,3,o,Food,13.19
October,City,Moderate,14,o,Culture,17.61
January,City,Moderate,3,o,Shopping,12.67
November,Hill Station,Moderate,2,o,Food,15.9
July,City,Moderate,14,o,Relaxation,12.17
September,Historical,Hot,7,o,Food,13.45
July,City,Moderate,14,o,Food,11.78
April,Religious,Moderate,10,o,Relaxation,6.23
September,Historical,Hot,14,o,Adventure,6.38
May,City,Moderate,1,o,Shopping,13.55
November,Wildlife,Moderate,14,o,Shopping,14.84
January,Hill Station,Cold,10,o,Food,12.23
July,City,Moderate,5,o,Adventure,13.32
October,Hill Station,Moderate,14,o,Shopping,14.72
December,Beach,Hot,3,o,Food,23.95
May,Beach,Moderate,14,o,Relaxation,23.85
August,City,Moderate,1,o,Culture,15.81
April,Wildlife,Moderate,14,o,Adventure,19.33
July,Historical,Hot,3,o,Culture,7.28
February,Beach,Hot,3,o,Relaxation,20.24
January,Beach,Moderate,6,o,Relaxation,19.71
April,City,Moderate,1,o,Relaxation,9.67
September,Hill Station,Moderate,14,o,Adventure,15.05
December,Historical,Hot,7,o,Culture,12.43
February,Historical,Hot,1,o,Food,10.45
May,Hill Station,Cold,2,o,Adventure,12.22
October,Historical,Hot,2,o,Adventure,8.66
March,Historical,Hot,10,o,Relaxation,9.1
November,Beach,Moderate,14,o,Food,21.42
January,Wildlife,Moderate,7,o,Food,14.89
September,Hill Station,Cold,2,o,Culture,14.29
May,Wildlife,Moderate,7,o,Shopping,18.4
January,Beach,Hot,14,o,Adventure,22.99
July,City,Moderate,2,o,Relaxation,16.38
February,Hill Station,Cold,2,o,Shopping,14.76
February,Wildlife,Hot,14,o,Culture,19.4
June,Religious,Moderate,14,o,Culture,5.0
January,Beach,Hot,4,o,Relaxation,15.8
February,Religious,Moderate,6,o,Adventure,14.65
May,Beach,Hot,7,o,Relaxation,12.82
June,Historical,Hot,7,o,Shopping,16.39
October,Wildlife,Hot,5,o,Culture,16.13
March,Historical,Hot,1,o,Shopping,14.19
March,Hill Station,Cold,5,o,Food,15.72
December,Religious,Moderate,14,o,Relaxation,15.3
November,Hill Station,Cold,4,o,Relaxation,15.85
May,Wildlife,Moderate,1,o,Food,20.15
January,Beach,Hot,14,o,Relaxation,19.76
May,City,Moderate,6,o,Shopping,16.1
June,Beach,Hot,4,o,Relaxation,21.78
April,Historical,Hot,6,o,Relaxation,13.0
May,Historical,Hot,2,o,Adventure,5.0
March,Beach,Moderate,14,o,Food,15.85
September,Religious,Moderate,2,o,Adventure,6.32
November,Religious,Moderate,3,o,Adventure,11.76
October,Religious,Moderate,1,o,Culture,8.89
January,City,Moderate,1,o,Adventure,7.85
January,Historical,Hot,5,o,Relaxation,7.26
January,Historical,Hot,2,o,Adventure,10.59
March,Beach,Hot,10,o,Food,20.58
December,Hill Station,Moderate,3,o,Adventure,13.86
December,Beach,Moderate,7,o,Food,21.14
March,Hill Station,Cold,1,o,Adventure,14.88
December,Religious,Moderate,6,o,Food,14.11
July,Hill Station,Cold,6,o,Shopping,9.87
July,Beach,Hot,1,o,Culture,18.82
August,City,Moderate,7,o,Relaxation,8.46
January,Beach,Hot,2,o,Shopping,17.61
April,Wildlife,Hot,1,o,Culture,17.61
December,City,Moderate,5,o,Relaxation,11.51
April,Historical,Hot,6,o,Culture,10.54
August,Wildlife,Moderate,7,o,Adventure,13.92
June,Wildlife,Moderate,2,o,Relaxation,18.24
November,Religious,Moderate,3,o,Shopping,11.86
September,Historical,Hot,7,o,Adventure,11.41
December,Historical,Hot,7,o,Culture,7.48
February,Beach,Hot,10,o,Culture,21.04
May,Historical,Hot,5,o,Food,13.48
November,Historical,Hot,3,o,Adventure,18.19
June,Wildlife,Hot,1,o,Relaxation,17.47
September,Hill Station,Cold,5,o,Adventure,17.46
March,Wildlife,Hot,3,o,Culture,16.41
April,Beach,Hot,5,o,Culture,13.63
December,Hill Station,Cold,7,o,Shopping,16.24
March,Wildlife,Hot,2,o,Adventure,21.95
October,City,Moderate,6,o,Culture,11.11
October,Beach,Moderate,3,o,Culture,19.5
May,Hill Station,Cold,2,o,Culture,11.43
August,Hill Station,Cold,4,o,Food,17.19
March,Wildlife,Hot,10,o,Food,13.1
April,Beach,Hot,5,o,Shopping,19.25
May,Beach,Moderate,14,o,Food,18.89
September,Wildlife,Hot,14,o,Adventure,17.03
January,City,Moderate,7,o,Food,8.99
June,Historical,Hot,2,o,Adventure,7.43
February,Hill Station,Moderate,3,o,Relaxation,17.14
November,City,Moderate,5,o,Relaxation,15.93
January,Hill Station,Cold,2,o,Relaxation,11.6
May,Religious,Moderate,14,o,Adventure,6.14
August,Historical,Hot,3,o,Relaxation,9.91
January,Hill Station,Moderate,4,o,Adventure,14.4
February,Beach,Hot,10,o,Relaxation,24.2
February,Wildlife,Hot,5,o,Adventure,16.15
May,Hill Station,Cold,10,o,Relaxation,18.69
December,Hill Station,Cold,10,o,Adventure,7.95
August,Religious,Moderate,14,o,Food,16.02
November,Historical,Hot,7,o,Adventure,9.41
January,Beach,Hot,14,o,Food,19.62
November,City,Moderate,5,o,Food,11.14
June,Religious,Moderate,6,o,Food,9.24
April,Hill Station,Cold,10,o,Adventure,16.32
September,City,Moderate,3,o,Culture,8.7
August,Religious,Moderate,3,o,Adventure,8.49
December,Wildlife,Hot,1,o,Food,10.68
October,Historical,Hot,1,o,Shopping,10.59
February,Religious,Moderate,7,o,Shopping,9.79
September,Hill Station,Moderate,14,o,Adventure,9.11
March,Hill Station,Cold,4,o,Relaxation,10.56
August,Religious,Moderate,10,o,Culture,19.94
June,Hill Station,Cold,4,o,Shopping,14.67
September,Hill Station,Moderate,2,o,Shopping,13.34
September,Hill Station,Moderate,1,o,Culture,12.84
August,Religious,Moderate,14,o,Culture,6.51
November,Hill Station,Cold,5,o,Relaxation,14.96
March,Religious,Moderate,4,o,Relaxation,8.41
February,Historical,Hot,7,o,Relaxation,10.73
October,Wildlife,Hot,7,o,Shopping,13.54
May,Wildlife,Moderate,7,o,Shopping,17.33
July,Religious,Moderate,10,o,Adventure,9.55
July,Religious,Moderate,2,o,Adventure,12.38
February,Beach,Hot,6,o,Relaxation,22.78
May,Hill Station,Cold,3,o,Shopping,9.69
August,Historical,Hot,1,o,Adventure,11.76
January,Beach,Hot,14,o,Culture,19.64
April,City,Moderate,2,o,Culture,18.61
March,Wildlife,Moderate,5,o,Food,14.45
February,Wildlife,Moderate,4,o,Food,24.32
February,Hill Station,Moderate,7,o,Culture,16.31
June,Wildlife,Hot,4,o,Adventure,24.59
June,Hill Station,Moderate,2,o,Adventure,12.02
December,Historical,Hot,14,o,Culture,10.46
December,Historical,Hot,4,o,Shopping,14.86
May,Beach,Hot,14,o,Relaxation,20.1
June,Hill Station,Moderate,1,o,Adventure,9.82
July,Hill Station,Cold,5,o,Shopping,15.45
October,Beach,Moderate,7,o,Food,19.12
April,Hill Station,Cold,14,o,Shopping,12.52
March,City,Moderate,14,o,Adventure,18.54
June,Hill Station,Moderate,2,o,Shopping,15.27
June,Beach,Hot,10,o,Food,23.63
June,Wildlife,Hot,5,o,Culture,11.05
November,Beach,Hot,10,o,Adventure,19.86
January,Beach,Hot,3,o,Shopping,22.97
December,City,Moderate,6,o,Shopping,12.09
August,City,Moderate,3,o,Shopping,11.0
August,Hill Station,Cold,2,o,Adventure,19.67
January,Hill Station,Cold,14,o,Relaxation,12.5
July,Historical,Hot,5,o,Culture,10.34
November,Religious,Moderate,4,o,Food,8.42
February,Historical,Hot,10,o,Relaxation,14.54
September,City,Moderate,1,o,Relaxation,6.41
February,Beach,Moderate,5,o,Culture,17.35
November,Wildlife,Moderate,3,o,Shopping,22.08
October,Historical,Hot,3,o,Relaxation,16.64
November,City,Moderate,14,o,Shopping,8.2
March,Historical,Hot,14,o,Shopping,6.28
August,Wildlife,Moderate,7,o,Adventure,20.03
January,Historical,Hot,10,o,Relaxation,22.59
March,Religious,Moderate,10,o,Relaxation,7.27
April,Hill Station,Cold,14,o,Culture,16.35
December,Historical,Hot,3,o,Shopping,10.77
September,City,Moderate,7,o,Relaxation,14.62
January,Religious,Moderate,7,o,Food,7.77
September,Religious,Moderate,14,o,Culture,9.08
January,Historical,Hot,6,o,Relaxation,10.8
January,City,Moderate,6,o,Culture,12.98
April,Hill Station,Cold,7,o,Shopping,17.84
October,Religious,Moderate,10,o,Culture,11.17
June,Historical,Hot,4,o,Adventure,13.27
August,Religious,Moderate,1,o,Shopping,9.6
October,Religious,Moderate,10,o,Food,9.9
May,Historical,Hot,3,o,Culture,12.86
December,Historical,Hot,1,o,Food,8.51
March,Beach,Hot,10,o,Relaxation,18.93
August,Beach,Hot,4,o,Relaxation,13.67
March,Beach,Moderate,3,o,Relaxation,24.02
February,Historical,Hot,10,o,Adventure,14.2
October,City,Moderate,2,o,Shopping,10.83
March,Historical,Hot,1,o,Shopping,9.3
September,City,Moderate,6,o,Food,11.78
September,Hill Station,Moderate,7,o,Culture,18.21
June,Wildlife,Hot,3,o,Adventure,13.14
January,Hill Station,Cold,4,o,Food,20.25
January,Wildlife,Moderate,3,o,Relaxation,16.91
September,Religious,Moderate,1,o,Food,13.14
November,Hill Station,Cold,7,o,Relaxation,15.91
January,City,Moderate,7,o,Adventure,14.3
August,Wildlife,Hot,10,o,Adventure,14.85
July,Hill Station,Cold,4,o,Adventure,15.06
November,Historical,Hot,1,o,Culture,8.61
April,Hill Station,Cold,4,o,Food,19.77
March,Beach,Hot,5,o,Shopping,19.58
April,City,Moderate,2,o,Food,13.74
May,Historical,Hot,10,o,Food,11.97
January,Historical,Hot,14,o,Food,14.64
June,Beach,Hot,5,o,Shopping,21.44
October,Hill Station,Moderate,14,o,Culture,13.71
April,City,Moderate,4,o,Food,9.1
August,Beach,Moderate,3,o,Relaxation,23.88
October,Wildlife,Hot,2,o,Relaxation,13.15
November,Historical,Hot,1,o,Culture,6.62
March,City,Moderate,7,o,Adventure,16.25
July,Religious,Moderate,6,o,Shopping,5.48
September,Beach,Hot,5,o,Relaxation,22.69
August,City,Moderate,5,o,Food,16.03
August,Wildlife,Moderate,1,o,Adventure,13.01
January,Wildlife,Moderate,7,o,Culture,14.52
July,Religious,Moderate,1,o,Culture,7.25
January,Beach,Hot,2,o,Food,20.28
January,Wildlife,Hot,3,o,Food,22.42
May,Beach,Hot,4,o,Culture,28.0
May,Wildlife,Hot,14,o,Culture,17.29
April,Wildlife,Moderate,3,o,Food,20.35
April,Beach,Hot,4,o,Relaxation,20.7
April,Beach,Moderate,6,o,Relaxation,20.59
June,Hill Station,Cold,6,o,Relaxation,16.61
October,City,Moderate,4,o,Adventure,11.56
December,City,Moderate,1,o,Culture,12.91
September,Beach,Hot,14,o,Food,16.8
October,Wildlife,Moderate,4,o,Relaxation,16.85
May,Beach,Hot,4,o,Relaxation,25.74
July,Historical,Hot,3,o,Food,15.49
October,Hill Station,Cold,14,o,Culture,15.9
March,Religious,Moderate,5,o,Adventure,11.79
October,City,Moderate,1,o,Relaxation,10.85
July,Historical,Hot,6,o,Food,17.13
February,Wildlife,Hot,3,o,Adventure,13.05
April,Beach,Moderate,2,o,Shopping,23.93
October,Historical,Hot,6,o,Culture,13.17
January,City,Moderate,7,o,Adventure,10.49
October,Beach,Hot,4,o,Adventure,19.17
February,Historical,Hot,3,o,Food,9.98
February,Beach,Hot,4,o,Shopping,21.23
April,Hill Station,Cold,7,o,Culture,10.86
August,Beach,Hot,6,o,Culture,22.99
July,Beach,Hot,2,o,Culture,18.27
July,Beach,Hot,2,o,Food,16.79
January,Historical,Hot,3,o,Adventure,15.37
March,Religious,Moderate,5,o,Culture,10.15
December,Hill Station,Moderate,2,o,Relaxation,13.5
June,Hill Station,Moderate,6,o,Relaxation,14.16
May,Hill Station,Cold,4,o,Adventure,14.99
October,Religious,Moderate,2,o,Adventure,13.36
September,City,Moderate,10,o,Adventure,7.67
May,Historical,Hot,10,o,Relaxation,14.14
December,Wildlife,Hot,5,o,Culture,16.3
September,Beach,Hot,14,o,Adventure,24.82
December,Beach,Hot,14,o,Culture,24.06
May,Hill Station,Cold,14,o,Adventure,15.87
July,Historical,Hot,10,o,Adventure,12.1
April,Religious,Moderate,4,o,Food,13.62
October,Beach,Moderate,14,o,Food,22.2
June,Historical,Hot,1,o,Adventure,18.73
December,Beach,Moderate,14,o,Shopping,11.82
May,Religious,Moderate,1,o,Shopping,17.15
June,Wildlife,Hot,14,o,Food,12.12
March,Wildlife,Moderate,6,o,Food,20.41
March,Religious,Moderate,7,o,Shopping,12.2
May,Beach,Hot,7,o,Food,24.86
March,Historical,Hot,6,o,Food,16.9
December,City,Moderate,6,o,Culture,12.83
September,Hill Station,Cold,3,o,Relaxation,15.76
January,Beach,Hot,2,o,Culture,23.14
December,Wildlife,Hot,7,o,Culture,21.81
March,Beach,Hot,14,o,Shopping,19.27
May,Historical,Hot,3,o,Food,14.59
March,Religious,Moderate,3,o,Adventure,9.83
May,Beach,Hot,3,o,Adventure,14.22
October,Wildlife,Hot,7,o,Adventure,16.4
January,Historical,Hot,3,o,Shopping,13.31
May,Historical,Hot,6,o,Adventure,13.06
April,Hill Station,Moderate,3,o,Shopping,16.37
November,Hill Station,Cold,1,o,Culture,10.11
February,Hill Station,Moderate,1,o,Food,16.67
April,Religious,Moderate,4,o,Food,11.04
October,City,Moderate,3,o,Food,12.72
August,Beach,Hot,2,o,Culture,23.36
January,Hill Station,Moderate,1,o,Shopping,10.89
March,Historical,Hot,10,o,Food,15.15
July,Historical,Hot,5,o,Culture,12.97
January,Historical,Hot,10,o,Shopping,12.43
May,Historical,Hot,4,o,Shopping,6.82
January,Religious,Moderate,6,o,Adventure,10.19
April,Beach,Hot,5,o,Relaxation,19.92
July,Historical,Hot,3,o,Shopping,14.95
April,Beach,Hot,7,o,Relaxation,25.19
May,Hill Station,Cold,5,o,Food,10.34
May,Religious,Moderate,3,o,Shopping,13.0
June,Beach,Hot,5,o,Shopping,24.82
August,City,Moderate,3,o,Relaxation,6.76
September,Historical,Hot,6,o,Shopping,15.62
July,Historical,Hot,4,o,Adventure,9.19
October,City,Moderate,1,o,Relaxation,8.88
August,City,Moderate,6,o,Adventure,16.54
September,City,Moderate,10,o,Food,15.2
October,Hill Station,Cold,4,o,Shopping,18.76
January,Beach,Hot,3,o,Relaxation,21.68
May,City,Moderate,5,o,Shopping,12.53
March,City,Moderate,4,o,Shopping,14.03
June,City,Moderate,4,o,Shopping,16.73
May,Wildlife,Moderate,10,o,Food,15.21
June,Wildlife,Hot,5,o,Relaxation,13.68
July,Wildlife,Moderate,3,o,Relaxation,13.21
December,Historical,Hot,10,o,Culture,12.17
July,Beach,Moderate,5,o,Food,20.16
October,Hill Station,Moderate,6,o,Adventure,17.6
August,Beach,Hot,5,o,Culture,15.62
December,Beach,Hot,5,o,Shopping,23.57
October,Beach,Hot,1,o,Food,28.13
September,Hill Station,Cold,2,o,Shopping,14.81
May,City,Moderate,10,o,Adventure,10.9
May,Religious,Moderate,4,o,Adventure,10.33
April,Historical,Hot,10,o,Culture,8.23
February,Hill Station,Moderate,14,o,Shopping,17.64
May,Historical,Hot,7,o,Shopping,6.2
April,Historical,Hot,7,o,Shopping,11.55
November,Wildlife,Hot,5,o,Culture,20.29
June,Religious,Moderate,14,o,Food,5.0
March,Religious,Moderate,10,o,Adventure,5.39
February,Historical,Hot,1,o,Food,9.25
January,Wildlife,Hot,10,o,Culture,20.18
May,Religious,Moderate,4,o,Adventure,9.7
January,City,Moderate,6,o,Shopping,18.26
August,Hill Station,Cold,5,o,Relaxation,13.9
January,Historical,Hot,7,o,Relaxation,13.42
January,Historical,Hot,7,o,Relaxation,14.09
March,Historical,Hot,3,o,Food,10.61
July,Religious,Moderate,10,o,Shopping,9.87
October,Wildlife,Moderate,1,o,Adventure,15.57
November,Wildlife,Moderate,14,o,Food,16.87
September,Historical,Hot,6,o,Relaxation,13.74
August,Religious,Moderate,4,o,Shopping,11.27
May,Wildlife,Hot,3,o,Relaxation,17.58
January,Religious,Moderate,6,o,Shopping,14.93
November,Religious,Moderate,5,o,Adventure,10.78
February,Wildlife,Hot,10,o,Relaxation,16.45
July,Hill Station,Moderate,2,o,Food,13.83
January,Wildlife,Moderate,7,o,Shopping,18.55
January,Historical,Hot,2,o,Relaxation,13.23
November,Historical,Hot,1,o,Food,13.58
October,Historical,Hot,3,o,Food,12.3
September,Wildlife,Hot,3,o,Food,9.56
March,Historical,Hot,7,o,Food,12.1
April,Religious,Moderate,10,o,Relaxation,5.96
September,Hill Station,Cold,7,o,Adventure,13.59
July,City,Moderate,5,o,Relaxation,17.59
December,Beach,Hot,14,o,Relaxation,24.1
November,Religious,Moderate,4,o,Adventure,8.79
December,City,Moderate,1,o,Food,15.06
October,Hill Station,Moderate,7,o,Culture,17.22
October,Historical,Hot,3,o,Shopping,10.19
August,Hill Station,Cold,4,o,Food,11.7
October,Hill Station,Cold,14,o,Culture,12.67
September,Beach,Hot,14,o,Relaxation,23.48
January,Religious,Moderate,3,o,Relaxation,11.82
December,Religious,Moderate,14,o,Shopping,10.83
September,Hill Station,Cold,1,o,Shopping,11.43
November,Historical,Hot,4,o,Culture,17.97
November,Religious,Moderate,14,o,Culture,10.93
July,Wildlife,Hot,5,o,Adventure,14.66
February,Wildlife,Hot,6,o,Food,15.83
January,Hill Station,Cold,2,o,Shopping,17.06
March,Historical,Hot,7,o,Food,11.49
August,Religious,Moderate,1,o,Adventure,12.81
November,Beach,Hot,14,o,Food,18.08
March,Hill Station,Moderate,7,o,Shopping,18.18
July,Beach,Hot,14,o,Food,17.72
September,Beach,Moderate,6,o,Culture,18.66
March,Hill Station,Cold,14,o,Shopping,15.6
March,Wildlife,Hot,10,o,Food,17.3
February,Religious,Moderate,7,o,Adventure,5.0
October,Wildlife,Moderate,2,o,Shopping,23.36
March,Religious,Moderate,10,o,Adventure,18.28
January,Historical,Hot,14,o,Relaxation,10.28
April,Hill Station,Moderate,2,o,Adventure,14.75
July,Historical,Hot,4,o,Relaxation,14.97
May,Religious,Moderate,4,o,Culture,13.24
November,City,Moderate,5,o,Relaxation,13.89
February,City,Moderate,3,o,Adventure,14.35
May,Hill Station,Cold,3,o,Relaxation,14.69
July,Religious,Moderate,1,o,Relaxation,15.72
April,Wildlife,Hot,10,o,Relaxation,19.28
March,City,Moderate,14,o,Adventure,15.44
December,City,Moderate,1,o,Shopping,10.47
January,Beach,Hot,3,o,Shopping,22.63
June,City,Moderate,3,o,Shopping,10.8
June,Religious,Moderate,6,o,Adventure,16.94
September,Beach,Hot,2,o,Culture,21.93
May,Religious,Moderate,1,o,Culture,18.1
September,Beach,Hot,14,o,Culture,18.87
December,Beach,Hot,10,o,Culture,20.04
June,Historical,Hot,5,o,Food,13.69
March,Religious,Moderate,4,o,Shopping,9.23
January,Beach,Hot,7,o,Shopping,24.67
October,Historical,Hot,14,o,Food,7.13
February,Historical,Hot,3,o,Food,7.02
August,City,Moderate,3,o,Food,19.08
March,Beach,Hot,14,o,Culture,26.18
July,Historical,Hot,3,o,Relaxation,11.96
July,Hill Station,Cold,2,o,Shopping,11.64
April,Historical,Hot,6,o,Relaxation,16.92
December,Historical,Hot,14,o,Food,15.24
September,Beach,Hot,10,o,Culture,20.74
August,Historical,Hot,3,o,Shopping,14.18
May,City,Moderate,2,o,Adventure,11.12
March,Beach,Moderate,1,o,Food,23.86
April,Wildlife,Hot,2,o,Food,16.23
September,City,Moderate,4,o,Food,13.83
March,Wildlife,Moderate,7,o,Relaxation,14.01
February,Hill Station,Moderate,5,o,Adventure,12.2
July,City,Moderate,3,o,Shopping,10.44
December,Wildlife,Moderate,4,o,Culture,15.07
February,Hill Station,Moderate,4,o,Food,14.65
April,City,Moderate,14,o,Adventure,13.05
March,Wildlife,Hot,14,o,Culture,14.2
October,Historical,Hot,14,o,Adventure,11.33
May,Historical,Hot,3,o,Shopping,15.57
January,Religious,Moderate,6,o,Culture,14.11
September,Wildlife,Hot,3,o,Adventure,19.16
January,Beach,Moderate,10,o,Relaxation,25.46
February,Historical,Hot,5,o,Food,18.32
October,Wildlife,Hot,14,o,Relaxation,13.37
September,Hill Station,Moderate,3,o,Shopping,15.01
November,Hill Station,Cold,6,o,Shopping,12.56
October,Beach,Hot,7,o,Shopping,22.5
July,Historical,Hot,6,o,Food,12.51
January,Historical,Hot,5,o,Culture,11.03
May,Beach,Hot,2,o,Shopping,19.8
April,Religious,Moderate,2,o,Culture,13.62
November,Religious,Moderate,6,o,Shopping,11.24
January,Historical,Hot,10,o,Adventure,12.55
November,Historical,Hot,3,o,Relaxation,9.5
January,Hill Station,Cold,4,o,Culture,16.44
November,Historical,Hot,3,o,Food,11.16
October,Hill Station,Moderate,2,o,Culture,17.71
August,Wildlife,Moderate,4,o,Food,16.32
April,Beach,Hot,5,o,Adventure,16.84
May,Religious,Moderate,5,o,Culture,10.8
October,Historical,Hot,1,o,Food,11.75
January,City,Moderate,10,o,Shopping,15.31
April,Religious,Moderate,6,o,Relaxation,8.68
July,Hill Station,Cold,6,o,Shopping,19.1
November,Hill Station,Cold,1,o,Shopping,20.9
August,Religious,Moderate,4,o,Adventure,10.88
October,Religious,Moderate,6,o,Food,14.75
July,Hill Station,Cold,4,o,Culture,11.83
February,City,Moderate,14,o,Food,12.79
June,City,Moderate,14,o,Culture,18.68
June,Religious,Moderate,10,o,Adventure,10.93
July,City,Moderate,6,o,Food,15.59
January,Beach,Hot,10,o,Shopping,18.12
May,Historical,Hot,1,o,Adventure,9.07
December,Wildlife,Moderate,5,o,Adventure,13.02
September,City,Moderate,5,o,Adventure,15.11
